EXID,Preferred name,Degree,Group name,ID,Synonyms
REACT:R15869,metabolism of nucleotides,13,Pathway,REACT:R15869,metabolism of nucleotides
REACT:R189445,metabolism of porphyrins,4,Pathway,REACT:R189445,metabolism of porphyrins
REACT:R392499,metabolism of proteins,20,Pathway,REACT:R392499,metabolism of proteins
REACT:R196071,metabolism of steroid hormones,11,Pathway,REACT:R196071,metabolism of steroid hormones
REACT:R196854,metabolism of vitamins and cofactors,14,Pathway,REACT:R196854,metabolism of vitamins and cofactors
REACT:R196849,metabolism of water-soluble vitamins and cofactors,14,Pathway,REACT:R196849,metabolism of water-soluble vitamins and cofactors
KEGG:hsa00980,metabolism of xenobiotics by cytochrome p450,22,Pathway,KEGG:hsa00980,metabolism of xenobiotics by cytochrome p450
REACT:R6799990,metal sequestration by antimicrobial proteins,3,Pathway,REACT:R6799990,metal sequestration by antimicrobial proteins
KEGG:M00035,Methionine degradation,4,Pathway,KEGG:M00035,Methionine degradation
KEGG:hsa05206,micrornas in cancer,24,Pathway,KEGG:hsa05206,micrornas in cancer
KEGG:hsa04978,mineral absorption,12,Pathway,KEGG:hsa04978,mineral absorption
REACT:R193993,mineralocorticoid biosynthesis,2,Pathway,REACT:R193993,mineralocorticoid biosynthesis
REACT:R211958,miscellaneous substrates,2,Pathway,REACT:R211958,miscellaneous substrates
REACT:R5339716,misspliced gsk3beta mutants stabilize beta-catenin,4,Pathway,REACT:R5339716,misspliced gsk3beta mutants stabilize beta-catenin
REACT:R1592230,mitochondrial biogenesis,11,Pathway,REACT:R1592230,mitochondrial biogenesis
REACT:R166187,mitochondrial uncoupling proteins,2,Pathway,REACT:R166187,mitochondrial uncoupling proteins
KEGG:hsa04137,mitophagy,15,Pathway,KEGG:hsa04137,mitophagy
REACT:R453274,mitotic g2-g2/m phases,13,Pathway,REACT:R453274,mitotic g2-g2/m phases
REACT:R2129379,molecules associated with elastic fibres,9,Pathway,REACT:R2129379,molecules associated with elastic fibres
KEGG:hsa05032,morphine addiction,11,Pathway,KEGG:hsa05032,morphine addiction
REACT:R166208,mtorc1-mediated signalling,6,Pathway,REACT:R166208,mtorc1-mediated signalling
KEGG:hsa04150,mtor signaling pathway,17,Pathway,KEGG:hsa04150,mtor signaling pathway
REACT:R165159,mtor signalling,9,Pathway,REACT:R165159,mtor signalling
