Source,Target,Source preferred name,Target preferred name,Interaction,Source group,Target group,Database,Edge type
EX:E004815849,EX:G11397083,arsenic,CALCOCO2,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389741,arsenic,CALD1,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11400550,arsenic,CALHM2,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11406416,arsenic,CALHM3,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11409296,arsenic,CALHM5,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389742,arsenic,CALM1,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389749,arsenic,CALML3,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11401022,arsenic,CALML5,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11389753,arsenic,CAMK2A,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389754,arsenic,CAMK2B,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389755,arsenic,CAMK2D,affects^cotreatment|increases^expression,Exposure,Gene,ctd^31739468,1
EX:E004815849,EX:G11397426,arsenic,CAMKK2,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389758,arsenic,CAMP,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11408138,arsenic,CAMSAP1,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11398359,arsenic,CAMSAP2,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11398350,arsenic,CAMTA1,decreases^methylation,Exposure,Gene,ctd^26771251,1
EX:E004815849,EX:G11389760,arsenic,CAPG,decreases^response to substance,Exposure,Gene,ctd^17976673,1
EX:E004815849,EX:G11389761,arsenic,CAPN1,increases^abundance|increases^expression,Exposure,Gene,ctd^31398423,1
EX:E004815849,EX:G11397819,arsenic,CAPN10,affects^response to substance,Exposure,Gene,ctd^23349674,1
EX:E004815849,EX:G11397818,arsenic,CAPN11,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11394366,arsenic,CAPN15,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389681,arsenic,CAPN5,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11405169,arsenic,CAPS2,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11400250,arsenic,CARD10,increases^expression,Exposure,Gene,ctd^19945496,1
EX:E004815849,EX:G11402985,arsenic,CARD18,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11401935,arsenic,CARMIL1,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11403769,arsenic,CARS2,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11413031,arsenic,CASC15,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11402721,arsenic,CASKIN1,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389772,arsenic,CASP1,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11389781,arsenic,CASP10,increases^expression,Exposure,Gene,ctd^27838757,1
EX:E004815849,EX:G11389773,arsenic,CASP2,increases^expression,Exposure,Gene,ctd^19962721|27838757,1
EX:E004815849,EX:G11389774,arsenic,CASP3,increases^expression,Exposure,Gene,ctd^27838757,1
EX:E004815849,EX:G11389775,arsenic,CASP4,decreases^expression,Exposure,Gene,ctd^11134558,1
EX:E004815849,EX:G11389777,arsenic,CASP6,affects^cotreatment|decreases^expression,Exposure,Gene,ctd^19962721,1
EX:E004815849,EX:G11389779,arsenic,CASP8,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389780,arsenic,CASP9,increases^expression,Exposure,Gene,ctd^11134558,1
EX:E004815849,EX:G11389782,arsenic,CASQ1,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389783,arsenic,CASQ2,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11416082,arsenic,CASTOR1,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11401457,arsenic,CASZ1,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389785,arsenic,CAT,increases^response to substance,Exposure,Gene,ctd^14580687,1
EX:E004815849,EX:G11413728,arsenic,CATSPER2P1,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11396164,arsenic,CBFA2T2,affects^methylation,Exposure,Gene,ctd^25304211,1
